Financial_Year,Tax_Gap_Billion,Source_Publication_Year,Tax_Type
2005-06,1.8,2022,Macro Tax Summary - Corporation Tax (Breakdown 1)
2005-06,1.8,2023,Macro Tax Summary - Corporation Tax (Breakdown 1)
2005-06,1.8,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2006-07,1.3,2022,Macro Tax Summary - Corporation Tax (Breakdown 1)
2006-07,1.4,2023,Macro Tax Summary - Corporation Tax (Breakdown 1)
2006-07,1.4,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2007-08,1.4,2022,Macro Tax Summary - Corporation Tax (Breakdown 1)
2007-08,1.6,2023,Macro Tax Summary - Corporation Tax (Breakdown 1)
2007-08,1.6,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2008-09,1.5,2022,Macro Tax Summary - Corporation Tax (Breakdown 1)
2008-09,1.6,2023,Macro Tax Summary - Corporation Tax (Breakdown 1)
2008-09,1.6,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2009-10,1.5,2022,Macro Tax Summary - Corporation Tax (Breakdown 1)
2009-10,1.5,2023,Macro Tax Summary - Corporation Tax (Breakdown 1)
2009-10,1.5,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2010-11,1.3,2022,Macro Tax Summary - Corporation Tax (Breakdown 1)
2010-11,1.3,2023,Macro Tax Summary - Corporation Tax (Breakdown 1)
2010-11,1.3,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2011-12,1.2,2022,Macro Tax Summary - Corporation Tax (Breakdown 1)
2011-12,1.1,2023,Macro Tax Summary - Corporation Tax (Breakdown 1)
2011-12,1.2,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2012-13,1.8,2022,Macro Tax Summary - Corporation Tax (Breakdown 1)
2012-13,1.8,2023,Macro Tax Summary - Corporation Tax (Breakdown 1)
2012-13,1.9,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2013-14,2.1,2022,Macro Tax Summary - Corporation Tax (Breakdown 1)
2013-14,2.1,2023,Macro Tax Summary - Corporation Tax (Breakdown 1)
2013-14,2.0,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2014-15,2.4,2022,Macro Tax Summary - Corporation Tax (Breakdown 1)
2014-15,2.7,2023,Macro Tax Summary - Corporation Tax (Breakdown 1)
2014-15,2.4,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2015-16,2.7,2022,Macro Tax Summary - Corporation Tax (Breakdown 1)
2015-16,2.7,2023,Macro Tax Summary - Corporation Tax (Breakdown 1)
2015-16,2.7,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2016-17,3.0,2022,Macro Tax Summary - Corporation Tax (Breakdown 1)
2016-17,3.0,2023,Macro Tax Summary - Corporation Tax (Breakdown 1)
2016-17,3.1,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2017-18,3.4,2022,Macro Tax Summary - Corporation Tax (Breakdown 1)
2017-18,3.5,2023,Macro Tax Summary - Corporation Tax (Breakdown 1)
2017-18,3.3,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2018-19,3.6,2022,Macro Tax Summary - Corporation Tax (Breakdown 1)
2018-19,3.7,2023,Macro Tax Summary - Corporation Tax (Breakdown 1)
2018-19,4.1,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2019-20,3.6,2022,Macro Tax Summary - Corporation Tax (Breakdown 1)
2019-20,6.0,2023,Macro Tax Summary - Corporation Tax (Breakdown 1)
2019-20,7.2,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2020-21,3.7,2022,Macro Tax Summary - Corporation Tax (Breakdown 1)
2020-21,6.9,2023,Macro Tax Summary - Corporation Tax (Breakdown 1)
2020-21,8.4,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2021-22,8.4,2023,Macro Tax Summary - Corporation Tax (Breakdown 1)
2021-22,11.6,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2022-23,12.3,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2023-24,14.7,2025,Macro Tax Summary - Corporation Tax (Breakdown 1)
2005-06,0.8,2022,Macro Tax Summary - Corporation Tax (Breakdown 2)
2005-06,0.8,2023,Macro Tax Summary - Corporation Tax (Breakdown 2)
2005-06,0.8,2025,Macro Tax Summary - Corporation Tax (Breakdown 2)
2006-07,0.8,2022,Macro Tax Summary - Corporation Tax (Breakdown 2)
2006-07,0.8,2023,Macro Tax Summary - Corporation Tax (Breakdown 2)
2006-07,0.8,2025,Macro Tax Summary - Corporation Tax (Breakdown 2)
2007-08,0.8,2022,Macro Tax Summary - Corporation Tax (Breakdown 2)
2007-08,0.8,2023,Macro Tax Summary - Corporation Tax (Breakdown 2)
2007-08,0.8,2025,Macro Tax Summary - Corporation Tax (Breakdown 2)
2008-09,0.9,2022,Macro Tax Summary - Corporation Tax (Breakdown 2)
2008-09,0.9,2023,Macro Tax Summary - Corporation Tax (Breakdown 2)
2008-09,0.9,2025,Macro Tax Summary - Corporation Tax (Breakdown 2)
2009-10,0.9,2022,Macro Tax Summary - Corporation Tax (Breakdown 2)
2009-10,0.9,2023,Macro Tax Summary - Corporation Tax (Breakdown 2)
2009-10,0.9,2025,Macro Tax Summary - Corporation Tax (Breakdown 2)
2010-11,0.8,2022,Macro Tax Summary - Corporation Tax (Breakdown 2)
2010-11,0.8,2023,Macro Tax Summary - Corporation Tax (Breakdown 2)
2010-11,0.8,2025,Macro Tax Summary - Corporation Tax (Breakdown 2)
2011-12,0.6,2022,Macro Tax Summary - Corporation Tax (Breakdown 2)
2011-12,0.6,2023,Macro Tax Summary - Corporation Tax (Breakdown 2)
2011-12,0.6,2025,Macro Tax Summary - Corporation Tax (Breakdown 2)
2012-13,0.8,2022,Macro Tax Summary - Corporation Tax (Breakdown 2)
2012-13,0.8,2023,Macro Tax Summary - Corporation Tax (Breakdown 2)
2012-13,0.8,2025,Macro Tax Summary - Corporation Tax (Breakdown 2)
2013-14,0.8,2022,Macro Tax Summary - Corporation Tax (Breakdown 2)
2013-14,0.8,2023,Macro Tax Summary - Corporation Tax (Breakdown 2)
2013-14,0.8,2025,Macro Tax Summary - Corporation Tax (Breakdown 2)
2014-15,1.3,2022,Macro Tax Summary - Corporation Tax (Breakdown 2)
2014-15,1.3,2023,Macro Tax Summary - Corporation Tax (Breakdown 2)
2014-15,1.4,2025,Macro Tax Summary - Corporation Tax (Breakdown 2)
2015-16,1.1,2022,Macro Tax Summary - Corporation Tax (Breakdown 2)
2015-16,1.1,2023,Macro Tax Summary - Corporation Tax (Breakdown 2)
2015-16,0.9,2025,Macro Tax Summary - Corporation Tax (Breakdown 2)
2016-17,1.4,2022,Macro Tax Summary - Corporation Tax (Breakdown 2)
2016-17,1.4,2023,Macro Tax Summary - Corporation Tax (Breakdown 2)
2016-17,1.2,2025,Macro Tax Summary - Corporation Tax (Breakdown 2)
2017-18,1.5,2022,Macro Tax Summary - Corporation Tax (Breakdown 2)
2017-18,1.5,2023,Macro Tax Summary - Corporation Tax (Breakdown 2)
2017-18,1.2,2025,Macro Tax Summary - Corporation Tax (Breakdown 2)
2018-19,1.5,2022,Macro Tax Summary - Corporation Tax (Breakdown 2)
2018-19,1.4,2023,Macro Tax Summary - Corporation Tax (Breakdown 2)
2018-19,1.1,2025,Macro Tax Summary - Corporation Tax (Breakdown 2)
2019-20,1.3,2022,Macro Tax Summary - Corporation Tax (Breakdown 2)
2019-20,1.1,2023,Macro Tax Summary - Corporation Tax (Breakdown 2)
2019-20,1.1,2025,Macro Tax Summary - Corporation Tax (Breakdown 2)
2020-21,1.3,2022,Macro Tax Summary - Corporation Tax (Breakdown 2)
2020-21,1.3,2023,Macro Tax Summary - Corporation Tax (Breakdown 2)
2020-21,1.0,2025,Macro Tax Summary - Corporation Tax (Breakdown 2)
2021-22,1.5,2023,Macro Tax Summary - Corporation Tax (Breakdown 2)
2021-22,1.2,2025,Macro Tax Summary - Corporation Tax (Breakdown 2)
2022-23,1.3,2025,Macro Tax Summary - Corporation Tax (Breakdown 2)
